Epoch Time,Value
1704107692000,1
1704107700000,1
1704107721000,1
1704107731000,1
1704107736000,1
1704107752000,0
1704107760000,0
1704107781000,0
1704107792000,0
1704107799000,0
1704107812000,0
1704107820000,0
1704107841000,0
1704107853000,0
1704107864000,0
1704107873000,1
1704107880000,1
1704107901000,1
1704107911000,1
1704107928000,1
1704107933000,0
1704107940000,0
1704107961000,0
1704107974000,0
1704107992000,0
1704107993000,0
1704108000000,0
1704108021000,0
1704108032000,0
1704108054000,1
1704108056000,1
1704108060000,1
1704108081000,1
1704108094000,1
1704108114000,1
1704108120000,1
1704108141000,1
1704108154000,1
1704108174000,1
1704108180000,1
1704108185000,1
1704108201000,1
1704108215000,1
1704108235000,1
1704108240000,1
1704108248000,1
1704108261000,1
1704108272000,1
1704108295000,0
1704108300000,0
1704108313000,0
1704108321000,0
1704108333000,0
1704108356000,1
1704108360000,1
1704108377000,1
1704108381000,1
1704108395000,1
1704108416000,1
1704108420000,1
1704108441000,1
1704108456000,1
1704108476000,1
1704108480000,1
1704108501000,1
1704108504000,1
1704108514000,1
1704108536000,0
1704108540000,0
1704108561000,0
1704108569000,0
1704108571000,0
1704108597000,1
1704108600000,1
1704108621000,1
1704108633000,1
1704108657000,1
1704108660000,1
1704108681000,1
1704108693000,1
1704108697000,1
1704108717000,1
1704108720000,1
1704108741000,1
1704108751000,1
1704108762000,1
1704108778000,1
1704108780000,1
1704108801000,1
1704108814000,1
1704108827000,1
1704108838000,1
1704108840000,1
1704108861000,1
1704108878000,0
1704108891000,0
1704108898000,0
1704108900000,0
1704108921000,0
1704108938000,0
1704108954000,0
1704108959000,0
1704108960000,0
1704108981000,0
1704108998000,0
1704109018000,0
1704109019000,0
1704109020000,0
1704109041000,0
1704109058000,0
1704109079000,0
1704109080000,0
1704109083000,0
1704109101000,0
1704109118000,0
1704109140000,0
1704109147000,0
1704109161000,0
1704109178000,0
1704109200000,0
1704109211000,0
1704109221000,0
1704109238000,0
1704109260000,0
1704109275000,0
1704109281000,0
1704109298000,0
1704109320000,0
1704109321000,0
1704109339000,0
1704109341000,0
1704109358000,0
1704109380000,0
1704109381000,0
1704109401000,0
1704109403000,0
1704109418000,0
1704109440000,0
1704109441000,0
1704109461000,0
1704109467000,0
1704109478000,0
1704109500000,0
1704109502000,0
1704109521000,0
1704109531000,0
1704109538000,0
1704109560000,0
1704109562000,0
1704109581000,0
1704109595000,0
1704109598000,0
1704109620000,0
1704109622000,0
1704109641000,0
1704109658000,0
1704109680000,0
1704109683000,0
1704109701000,0
1704109718000,0
1704109723000,0
1704109740000,0
1704109743000,0
1704109761000,0
1704109778000,0
1704109787000,0
1704109800000,0
1704109803000,0
1704109821000,0
1704109838000,0
1704109851000,0
1704109860000,0
1704109864000,0
1704109881000,0
1704109898000,0
1704109915000,0
1704109920000,0
1704109924000,0
1704109941000,0
1704109958000,0
1704109979000,0
1704109980000,0
1704109984000,0
1704110001000,0
1704110018000,0
1704110040000,0
1704110043000,0
1704110045000,0
1704110061000,0
1704110078000,0
1704110100000,0
1704110105000,0
1704110108000,0
1704110121000,0
1704110138000,0
1704110160000,0
1704110166000,0
1704110174000,0
1704110181000,0
1704110198000,0
1704110220000,0
1704110226000,0
1704110238000,0
1704110241000,0
1704110258000,0
1704110280000,0
1704110286000,0
1704110301000,0
1704110303000,0
1704110318000,0
1704110340000,0
1704110347000,0
1704110361000,0
1704110367000,0
1704110378000,0
1704110400000,0
1704110407000,0
1704110421000,0
1704110431000,0
1704110438000,0
1704110460000,0
1704110467000,0
1704110481000,0
1704110495000,0
1704110498000,0
1704110520000,0
1704110528000,0
1704110541000,0
1704110558000,0
1704110559000,0
1704110580000,0
1704110588000,0
1704110601000,0
1704110618000,0
1704110623000,0
1704110640000,0
1704110648000,0
1704110661000,0
1704110678000,0
1704110688000,0
1704110700000,0
1704110709000,0
1704110721000,0
1704110738000,0
1704110753000,0
1704110760000,0
1704110769000,0
1704110781000,0
1704110798000,0
1704110817000,0
1704110820000,0
1704110829000,0
1704110841000,0
1704110858000,0
1704110880000,0
1704110882000,0
1704110890000,0
1704110901000,0
1704110918000,0
1704110940000,0
1704110947000,0
1704110950000,0
1704110961000,0
1704110978000,0
1704111000000,0
1704111010000,0
1704111011000,0
1704111021000,0
1704111038000,0
1704111060000,0
1704111071000,0
1704111075000,0
1704111081000,0
1704111098000,0
1704111120000,0
1704111131000,0
1704111139000,0
1704111141000,0
1704111158000,0
1704111180000,0
1704111191000,0
